team,pick_year,round,expected_pick_number,protection_note
Orlando Magic,2027,2,,More favorable of ORL and BOS to UTH then other to CHA (via BOS to ORL to BOS; via ORL to CHA)
Orlando Magic,2028,1,,To POR (via MEM)
Orlando Magic,2028,2,,To CHA; More favorable of LAL and WAS (via LAL)
Orlando Magic,2029,1,,1-2 Own; 3-30 Own or MEM (via MEM swap for ORL)
Orlando Magic,2029,2,,To MEM if ORL 1-2 in 2029
Orlando Magic,2030,1,,To MEM
Orlando Magic,2030,2,,Own or swap for NOP; MIL
Orlando Magic,2031,1,,Own
Orlando Magic,2031,2,,More favorable of ORL and NOP then other to OKC (via ORL swap for NOP)
Orlando Magic,2032,1,,Own
Orlando Magic,2032,2,,Own
Philadelphia 76ers,2026,1,,"1-4 Own; 5-30 to OKC; Second most / more favorable of OKC, HOU 5-30 and LAC (via OKC)"
Philadelphia 76ers,2026,2,,"Most favorable of PHL, OKC and DAL to OKC; second most favorable to PHX and least favorable to WAS"
